time,mkt_weighted_ret
20180102,0.0063372610046602
20180103,0.0034893292859251
20180104,0.0014434580664649
20180105,0.0032584682835031
20180108,0.0018555058069269
20180109,0.0008694901679445
20180110,0.0021593353710583
20180111,0.0003706655322411
20180112,-0.008572478167785
20180115,0.0071334163908125
20180116,0.0004571802547014
20180117,0.0084864318103431
20180118,0.0024095949573153
20180119,0.0072890221381988
20180122,0.0122525929284334
20180123,0.0029174739577414
20180124,-0.0045137009955697
20180125,0.0022214894968308
20180126,-0.0131554438272445
20180129,-0.0094684813310998
20180130,-0.0058092172982445
20180131,-0.0163677791574413
20180201,0.0027738549244159
20180202,0.0035602970865158
20180205,-0.0394024738641026
20180206,-0.0187612805149326
20180207,-0.0088285936069091
20180208,-0.0403640234984652
20180209,0.0132002974525211
20180212,0.009273466138819
20180213,0.0049711906579792
20180214,0.0221415228567732
20180222,0.004362382426002
20180223,0.0152879725627799
20180226,-0.0111838773992902
20180227,-0.0060116291402169
20180228,0.006437892737932
20180301,-0.0067206159159254
20180302,0.0014333300394533
20180305,0.0105015926085664
20180306,-0.0060439322536637
20180307,0.0063003721024472
20180308,0.0092843741842354
20180309,0.0074090937429672
20180312,-0.0055736462915819
20180313,-0.0078678731097676
20180314,0.000265970266915
20180315,-0.0074735368176534
20180316,0.0028343829013538
20180319,0.0030773033862736
20180320,-0.0046435811776734
20180321,-0.0060027676220498
20180322,-0.0392954079455939
20180323,-0.0022663349052287
20180326,0.013417937924394
20180327,-0.0131868565328546
20180328,0.0124141198898849
20180329,0.0059223084628879
20180330,-0.0023101016458123
20180402,-0.0088982250347259
20180403,-0.0042008180568649
20180404,0.0006072309700014
20180409,0.0145527930938078
20180410,0.0054934588640355
20180411,-0.0093124400740539
20180412,-0.005864132284837
20180413,-0.0141142081113379
20180416,-0.0176382047707431
20180417,0.0088789822273485
20180418,0.0078253613687203
20180419,-0.0164446833080689
20180420,-0.003508394327043
20180423,0.0209514245938346
20180424,-0.0023404571905488
20180425,-0.0173651351134912
20180426,0.0029250596030998
