time,pnl,long_pnl,benchmark_ret,cum_pnl,cum_long_pnl,cum_benchmark_ret,excess_ret,cum_excess_ret,turnover
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.00015985317139712683,0.00041889471588655767,0.010555067633289283,0.00015985317139712683,0.00041889471588655767,0.010555067633289283,-0.010136172917402726,-0.010136172917402726,0.19999999999999998
2018-01-23,3.353290123717722e-06,0.0022160581316037005,0.001658000150051464,0.00016320646152084454,0.002634952847490258,0.012213067783340747,0.0005580579815522364,-0.00957811493585049,0.2
2018-01-24,1.676886642375033e-05,-0.0010184181790153786,-0.005666719908068885,0.00017997532794459487,0.0016165346684748794,0.006546347875271863,0.004648301729053506,-0.004929813206796984,0.2
2018-01-25,0.00023776352292792678,-0.0011862692744360353,0.0037090134316848378,0.00041773885087252166,0.0004302653940388441,0.0102553613069567,-0.004895282706120873,-0.009825095912917857,0.20000000000000004
2018-01-26,3.597290441250092e-05,-0.007161796518435828,-0.018261154524616074,0.00045371175528502255,-0.006731531124396984,-0.008005793217659374,0.011099358006180247,0.00127426209326239,0.19999999999999998
2018-01-29,0.0001879419834139619,-0.0007818622219121743,-0.010730496768857734,0.0006416537386989844,-0.007513393346309159,-0.018736289986517107,0.00994863454694556,0.011222896640207949,0.29396995601924897
2018-01-30,0.00022309064764798028,-0.014343870436380338,0.004640537717204296,0.0008647443863469647,-0.0218572637826895,-0.014095752269312811,-0.018984408153584632,-0.007761511513376687,0.29576738744717007
2018-01-31,0.0015103859843984778,-0.02331109828175913,-0.007040985851739734,0.0023751303707454426,-0.04516836206444863,-0.021136738121052545,-0.016270112430019395,-0.024031623943396085,0.2905313057723308
2018-02-01,0.0009162793729071292,-0.0032320086342564796,0.005949157411450301,0.0032914097436525717,-0.04840037069870511,-0.015187580709602244,-0.00918116604570678,-0.03321278998910287,0.29637103562045614
2018-02-02,-0.0008864917828675194,-0.004062116875350592,0.0006819592467284252,0.0024049179607850526,-0.05246248757405571,-0.014505621462873819,-0.004744076122079017,-0.03795686611118189,0.28496671645904065
2018-02-05,0.000969452400055368,-0.03092899160227056,-0.02974464187543724,0.0033743703608404207,-0.08339147917632626,-0.04425026333831106,-0.0011843497268333204,-0.039141215838015206,0.27565182646333
2018-02-06,0.00018806363747713586,0.0031257221721849087,-0.02400012904596771,0.0035624339983175565,-0.08026575700414136,-0.06825039238427877,0.02712585121815262,-0.012015364619862592,0.2787977761200803
2018-02-07,-0.00013735827547042918,0.007422932438152385,-0.009538004279120216,0.0034250757228471273,-0.07284282456598898,-0.07778839666339898,0.016960936717272602,0.004945572097410006,0.2817452481226942
