code,open,close,low,high,open_std,close_std,total_volume,total_turnover,volume_std,turnover_std
600692,100200,101100,99500,101300,0.0010610215401795737,0.0009825644756158499,2456541,24736282,12771.520238628636,128637.3910636608
600693,102600,100700,100600,102600,0.001415215923815662,0.001346527013231548,3807100,38585077,22134.355805819905,224339.50347561933
600694,336300,338800,336000,339400,0.0008884947209644771,0.0008270152668062358,1383347,46777377,6287.943009438041,212623.65402087846
600697,257600,261100,257100,262000,0.0006098230786366427,0.0005968658794495011,1176889,30640016,5123.736959169627,133535.46085181896
600698,79300,81199,78500,82700,0.0017916618412034582,0.0018473818369324267,26165063,211206649,150014.1838303839,1226987.050248445
600699,329000,332800,324700,333700,0.001044265869539563,0.0010041267550531564,7888908,260200216,27359.87581676471,904219.0469096965
600701,101900,101199,100700,101900,0.001099404205368799,0.0010467434247302795,8102130,81908679,33184.261724022275,335353.8620679565
600702,461700,458800,452000,466500,0.0014655962409503925,0.0013812965694635546,5848652,267256104,21536.588790111713,982508.3074765706
600703,256100,253200,247300,257200,0.0016371987773072297,0.0016249965045507203,32866123,824204227,95197.39903740329,2383869.7000217964
600704,68400,69500,68300,69800,0.001264384252968134,0.0012705339646714557,14262082,98838204,62473.44524572198,432514.2242594908
600705,55100,55300,54700,55500,0.0013857834677730827,0.0013287558850243449,41651837,229519554,149334.3139791544,823328.9645710615
600706,191900,191800,190500,192100,0.0006205574092067413,0.0006118370922241662,848788,16267666,7243.618630559799,138941.54890904104
600707,73700,74800,73500,75400,0.0015317753374415992,0.001511282359044726,5286932,39326488,43367.60733604377,324249.398047526
600708,68800,72600,68600,73500,0.001819616085782229,0.0017488109557502929,22875108,163600278,115710.81006380053,831620.4360153711
600711,86500,87400,86100,88800,0.0019378955179103245,0.0019839963803906318,55298780,483089880,300577.9786081482,2634443.6502349703
600712,78600,79000,77800,79200,0.001016087972746411,0.0010941196829379238,819839,6439528,5829.689906490765,45763.75939776427
600713,62200,62900,62200,62900,0.0010752645408705702,0.0011612622041141947,4091600,25611126,19674.448664829037,123205.42891250375
600714,90500,91400,90100,91500,0.0008598123623083554,0.0008573373757278127,1388405,12629239,7627.018304223038,69467.14521021348
600716,55199,55900,55000,56100,0.0012716484733417835,0.0012922985352733997,6497800,36164171,41404.434496263435,230531.67475794945
600717,105000,105900,105000,106000,0.0008281166089920037,0.0007516580434796784,7030919,74275374,30539.140882085765,322642.05517743767
600718,146900,147400,146800,148300,0.0007961781383461038,0.0007030124450517666,6472472,95464351,33747.481467705264,497160.0865235509
600719,62200,63000,61500,64100,0.0018971392015910415,0.0024246642867589074,2153220,13654669,17430.16359119729,110778.43986686581
600720,104100,110300,103600,111100,0.0017787936702102092,0.001704198872453022,65441911,706438142,220650.39083225475,2397055.9572228054
600721,104900,106000,103300,106400,0.001409943236633632,0.0012432394523348776,892801,9376318,8336.574796324365,87681.43247883032
600722,72600,75800,70900,79300,0.004611720388796333,0.004390554706079817,23344061,177738794,221893.57754366752,1738812.4432500047
600723,82000,82800,81900,82899,0.0009944477571124865,0.001139595892707381,2088521,17202218,10820.935479555463,89142.961159361
600724,37800,38200,37600,38400,0.0018077846558660767,0.0017505634059852909,3377900,12828775,26507.28604015854,100736.59129868672
600726,31700,31900,31700,31900,0.0017540882778222773,0.0017055969013904523,2284280,7259790,20221.165921561893,64237.245696744925
600727,74700,82300,74500,82300,0.0035100622520381234,0.00311631926823501,6201971,49204197,86573.61447289617,691586.1382573384
600728,82500,82500,81900,82899,0.0011440486160513529,0.0011599001893733236,8545352,70316027,34774.36356962589,285995.78267128824
600729,250799,251000,248100,251800,0.0013629572816288354,0.0016281285350782755,1935203,48483970,7550.733151328862,189311.95226463993
600730,67500,68200,67300,68300,0.0010420004141596278,0.0010335252300750592,3106966,21075487,15910.732039151675,107898.4726215238
600731,70600,71700,69700,73000,0.0021703769328454436,0.002490092830301147,3091894,22060249,22654.35975527159,162557.30116124725
600735,111900,114400,111600,115800,0.0028127582586902075,0.0015834547253465335,6616000,75656046,39624.66547953953,452557.92921620497
600736,59200,60599,59100,60599,0.001224944475339834,0.0011860539026642442,7044489,42193236,37291.759184376555,222196.55835917802
600737,79800,80300,79500,80500,0.0011152759414851591,0.0010677562453608683,10021142,80346672,59266.40747580198,474906.2353937101
600738,78800,79400,78600,80000,0.0015071615804266674,0.001792854539505578,544274,4324350,4573.379203116128,36277.274847151544
600739,175500,177200,174500,177600,0.0008258749090097322,0.0008324858368835207,5391819,95251046,19935.0761893282,351613.2316549203
600740,98400,102200,98400,104000,0.0028501646998254316,0.0028277252921916356,70798167,719406482,325099.4566540897,3312348.724672187
600741,296900,283100,276000,297000,0.0021480040249556914,0.0021563046208351944,34631435,979099305,92477.69098709701,2587172.8559229597
600742,165100,166400,164100,168000,0.0008663458990657022,0.0008314277198091007,5734934,95434303,23937.955244974255,398062.5782269168
600743,36700,37700,36700,38300,0.0023017740542834613,0.002390236255304988,22663975,85610502,102410.99792262515,387134.7984980208
600744,37700,37900,37600,38200,0.001518211023610376,0.0014890893120226621,3017490,11448701,26244.697250749014,99638.30130889296
600745,337000,323700,315000,340000,0.0021875711911652066,0.002465493536263361,8856000,284728032,38163.52089315585,1222490.9278652254
600746,81700,83300,81500,83800,0.0020655230753489503,0.002003386327472556,2455373,20356341,13107.152354270469,108795.27719654307
600748,63600,63700,63099,64400,0.0014476933679434545,0.00148223663656294,7717383,49238921,36046.60205885407,230134.9482936235
600749,199100,201300,195000,204899,0.0025869128784075266,0.0025887677289723244,1079802,21635179,12328.602902766412,248666.8037711664
600750,255100,258700,254700,260400,0.0011307773022547164,0.001175006258239168,3800549,98018886,12514.95749988117,323097.93610686867
600751,61100,61400,60700,62000,0.0015358133944344586,0.001609391299642109,8395746,51477967,41496.605754819524,254692.0798002197
600753,301500,303900,300400,304400,0.0014655357430097393,0.0014475347172061743,343005,10385697,2802.0425832483024,84967.23250288071
600754,323100,319300,314800,330600,0.00175739349333985,0.0016044826237922192,5620651,180594014,17713.301959828557,573556.4125713898
600755,100600,102000,100600,102400,0.0012065549770112576,0.001107600180620761,29153118,296665985,103169.23049163945,1050619.6932630553
600756,178200,180100,178200,180799,0.0007593632497225424,0.0007541368240694937,3672519,66034093,14906.941792369698,268020.7329469254
